Monster,CR,Type,Subtype,Size,Align,Legendary?,Lair?,,,,,,,,,,,,,,,,,,,,
"Dragon, brass, ancient",20,Dragon,,Gargantuan,CG,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, brass, wyrmling",1,Dragon,,Medium,CG,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, brass, young",6,Dragon,,Large,CG,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, bronze, adult",15,Dragon,,Huge,LG,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, bronze, ancient",22,Dragon,,Gargantuan,LG,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, bronze, wyrmling",2,Dragon,,Medium,LG,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, bronze, young",8,Dragon,,Large,LG,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, copper, adult",14,Dragon,,Huge,CG,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, copper, ancient",21,Dragon,,Gargantuan,CG,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, copper, wyrmling",1,Dragon,,Medium,CG,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, copper, young",7,Dragon,,Large,CG,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, gold, adult",17,Dragon,,Huge,LG,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, gold, ancient",24,Dragon,,Gargantuan,LG,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, gold, wyrmling",3,Dragon,,Medium,LG,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, gold, young",10,Dragon,,Large,LG,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, green, adult",15,Dragon,,Huge,LE,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, green, ancient",22,Dragon,,Gargantuan,LE,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, green, wyrmling",2,Dragon,,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, green, young",8,Dragon,,Large,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, red, adult",17,Dragon,,Huge,CE,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, red, ancient",24,Dragon,,Gargantuan,CE,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, red, wyrmling",4,Dragon,,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, red, young",10,Dragon,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, silver, adult",16,Dragon,,Huge,LG,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, silver, ancient",23,Dragon,,Gargantuan,LG,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, silver, wyrmling",2,Dragon,,Medium,LG,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, silver, young",9,Dragon,,Large,LG,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, white, adult",13,Dragon,,Huge,CE,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, white, ancient",20,Dragon,,Gargantuan,CE,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, white, wyrmling",2,Dragon,,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, white, young",6,Dragon,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
Drider,6,Monstrosity,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
Dryad,1,Fey,,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
Duergar,1,Humanoid,Dwarf,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
Eagle,0,Beast,,Small,,N,N,,,,,,,,,,,,,,,,,,,,
"Eagle, giant",1,Beast,,Large,NG,N,N,,,,,,,,,,,,,,,,,,,,
"Elemental, air",5,Elemental,,Large,N,N,N,,,,,,,,,,,,,,,,,,,,
"Elemental, earth",5,Elemental,,Large,N,N,N,,,,,,,,,,,,,,,,,,,,
"Elemental, fire",5,Elemental,,Large,N,N,N,,,,,,,,,,,,,,,,,,,,
"Elemental, water",5,Elemental,,Large,N,N,N,,,,,,,,,,,,,,,,,,,,
Elephant,4,Beast,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
"Elf, drow",1/4,Humanoid,Elf,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Elf, drow, elite warrior",5,Humanoid,Elf,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Elf, drow, mage",7,Humanoid,Elf,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Elf, drow, priestess of Lolth",8,Humanoid,Elf,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
Elk,1/4,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Elk, giant",2,Beast,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
Empyrean,23,Celestial,Titan,Huge,CG,Y,N,,,,,,,,,,,,,,,,,,,,
Empyrean,23,Celestial,Titan,Huge,NE,Y,N,,,,,,,,,,,,,,,,,,,,
Ettercap,2,Monstrosity,,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
Ettin,4,Giant,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
Faerie Dragon,1 (2),Dragon,,Tiny,CG,N,N,,,,,,,,,,,,,,,,,,,,
"Fire beetle, giant",0,Beast,,Small,,N,N,,,,,,,,,,,,,,,,,,,,
Flameskull,4,Undead,,Tiny,NE,N,N,,,,,,,,,,,,,,,,,,,,
Flumph,1/8,Aberration,,Small,LG,N,N,,,,,,,,,,,,,,,,,,,,
Fomorian,8,Giant,,Huge,CE,N,N,,,,,,,,,,,,,,,,,,,,
Frog,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
"Frog, giant",1/4,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
"Fungi, gas spore",1/2,Plant,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Fungi, shrieker",0,Plant,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
"Fungi, violet",1/4,Plant,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Galeb duhr,6,Elemental,,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
Gargoyle,2,Elemental,,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Genie, dao",11,Elemental,,Large,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Genie, djinni",11,Elemental,,Large,CG,N,N,,,,,,,,,,,,,,,,,,,,
"Genie, efreeti",11,Elemental,,Large,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Genie, marid",11,Elemental,,Large,CN,N,N,,,,,,,,,,,,,,,,,,,,
Ghost,4,Undead,,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
Ghoul,1,Undead,,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Ghoul, ghast",2,Undead,,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Giant, cloud",9,Giant,,Huge,NG,N,N,,,,,,,,,,,,,,,,,,,,
"Giant, cloud",9,Giant,,Huge,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Giant, fire",9,Giant,,Huge,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Giant, frost",8,Giant,,Huge,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Giant, hill",5,Giant,,Huge,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Giant, stone",7,Giant,,Huge,N,N,N,,,,,,,,,,,,,,,,,,,,
"Giant, storm",13,Giant,,Huge,CG,N,N,,,,,,,,,,,,,,,,,,,,
Gibbering mouther,2,Aberration,,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
"Gith, githyanki knight",8,Humanoid,Gith,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Gith, githyanki warrior",3,Humanoid,Gith,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Gith, githzerai monk",2,Humanoid,Gith,Medium,LN,N,N,,,,,,,,,,,,,,,,,,,,
"Gith, githzerai zerth",6,Humanoid,Gith,Medium,LN,N,N,,,,,,,,,,,,,,,,,,,,
Gnoll,1/2,Humanoid,Gnoll,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Gnoll, fang of Yeenoghu",4,Fiend,Gnoll,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Gnoll, pack lord",2,Humanoid,Gnoll,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Gnome, deep (Svirfneblin)",1/2,Humanoid,Gnome,Small,NG,N,N,,,,,,,,,,,,,,,,,,,,
Goat,0,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
"Goat, giant",1/2,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Goblin,1/4,Humanoid,Goblinoid,Small,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Goblin, boss",1,Humanoid,Goblinoid,Small,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Golem, clay",9,Construct,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Golem, flesh",5,Construct,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
"Golem, iron",16,Construct,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Golem, stone",10,Construct,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Gorgon,5,Monstrosity,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Grell,3,Aberration,,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
Grick,2,Monstrosity,,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
"Grick, alpha",7,Monstrosity,,Large,N,N,N,,,,,,,,,,,,,,,,,,,,
Griffon,2,Monstrosity,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Grimlock,1/4,Humanoid,Grimlick,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Hag, green",3,Fey,,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Hag, night",5,Fiend,,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Hag, sea",2,Fey,,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
Half-dragon (template),,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-red dragon veteran,5,Humanoid,Human,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
Harpy,1,Monstrosity,,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
Hawk,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
Hell hound,3,Fiend,,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
Helmed horror,4,Construct,,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
Hippogriff,1,Monstrosity,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Hobgoblin,1/2,Humanoid,Goblinoid,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Hobgoblin, captain",3,Humanoid,Goblinoid,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Hobgoblin, warlord",6,Humanoid,Goblinoid,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
Homunculus,0,Construct,,Tiny,N,N,N,,,,,,,,,,,,,,,,,,,,
Hook horror,3,Monstrosity,,Large,N,N,N,,,,,,,,,,,,,,,,,,,,
"Horse, draft",1/4,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Horse, riding",1/4,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Horse, war",1/2,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Hydra,8,Monstrosity,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
Hyena,0,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
"Hyena, giant",1,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Intellect devourer,2,Aberration,,Tiny,LE,N,N,,,,,,,,,,,,,,,,,,,,
Invisible stalker,6,Elemental,,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
Jackal,0,Beast,,Small,,N,N,,,,,,,,,,,,,,,,,,,,
Jackalwere,1/2,Humanoid,Shapechanger,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
Kenku,1/4,Humanoid,Kenku,Medium,CN,N,N,,,,,,,,,,,,,,,,,,,,
Killer whale,3,Beast,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
Kobold,1/8,Humanoid,Kobold,Small,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Kobold, winged (urd)",1/4,Humanoid,Kobold,Small,LE,N,N,,,,,,,,,,,,,,,,,,,,
Kraken,23,Monstrosity,Titan,Gargantuan,CE,Y,Y,,,,,,,,,,,,,,,,,,,,
Kuo-toa,1/4,Humanoid,Kuo-toa,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Kuo-toa, archpriest",6,Humanoid,Kuo-toa,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Kuo-toa, whip",1,Humanoid,Kuo-toa,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
Lamia,4,Monstrosity,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
Lich,21 (22),Undead,,Medium,E (any),Y,Y,,,,,,,,,,,,,,,,,,,,
Lion,1,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Lizard,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
"Lizard, giant",1/4,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Lizardfolk,1/2,Humanoid,Lizardfolk,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
"Lizardfolk, lizard king/queen",4,Humanoid,Lizardfolk,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Lizardfolk, shaman",2,Humanoid,Lizardfolk,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, werebear",5,Humanoid,Human,Medium,NG,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, werebear",5,Humanoid,Shapechanger,Medium,NG,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, wereboar",4,Humanoid,Human,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, wereboar",4,Humanoid,Shapechanger,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, wererat",2,Humanoid,Human,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, wererat",2,Humanoid,Shapechanger,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, weretiger",4,Humanoid,Human,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, weretiger",4,Humanoid,Shapechanger,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, werewolf",3,Humanoid,Human,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, werewolf",3,Humanoid,Shapechanger,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
Magmin,1/2,Elemental,,Small,CN,N,N,,,,,,,,,,,,,,,,,,,,
Mammoth,6,Beast,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
Manticore,3,Monstrosity,,Large,LE,N,N,,,,,,,,,,,,,,,,,,,,
Mastiff,1/8,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Medusa,6,Monstrosity,,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Mephit, dust",1/2,Elemental,,Small,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Mephit, ice",1/2,Elemental,,Small,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Mephit, magma",1/2,Elemental,,Small,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Mephit, mud",1/4,Elemental,,Small,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Mephit, smoke",1/4,Elemental,,Small,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Mephit, steam",1/4,Elemental,,Small,NE,N,N,,,,,,,,,,,,,,,,,,,,
Merfolk,1/8,Humanoid,Merfolk,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
Merrow,2,Monstrosity,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
Mimic,2,Monstrosity,Shapechanger,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
Mind flayer,7,Aberration,,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Mind flayer, arcanist",8,Aberration,,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
Minotaur,3,Monstrosity,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Modron, duodrone",1/4,Construct,,Medium,LN,N,N,,,,,,,,,,,,,,,,,,,,
"Modron, monodrone",1/8,Construct,,Medium,LN,N,N,,,,,,,,,,,,,,,,,,,,
"Modron, pentadrone",2,Construct,,Large,LN,N,N,,,,,,,,,,,,,,,,,,,,
"Modron, quadrone",1,Construct,,Medium,LN,N,N,,,,,,,,,,,,,,,,,,,,
"Modron, tridrone",1/2,Construct,,Medium,LN,N,N,,,,,,,,,,,,,,,,,,,,
